I need help. How can I reach customer service?,You can reach our customer service team by email at support@example.com or by phone at 1-800-123-4567.,contact_support
I need help. How can I reach customer service?,You can reach our customer service team by email at support@example.com or by phone at 1-800-123-4567.,contact_support
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Where is your company located?,"Our headquarters are located in San Francisco, California.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Where is your company located?,"Our headquarters are located in San Francisco, California.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Where is your company located?,"Our headquarters are located in San Francisco, California.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Do you have an office in New York?,"Currently, our main office is in San Francisco, but we are looking to expand.",company_location
Where is your company located?,"Our headquarters are located in San Francisco, California.",company_location
